0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:26:39 +0530] "GET /EV_Charging_Station_Finder/ev5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:26:39 +0530] "GET /EV_Charging_Station_Finder/ev2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:27:18 +0530] "GET /EV_Charging_Station_Finder/index.html HTTP/1.1" 200 15225
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:27:21 +0530] "GET /EV_Charging_Station_Finder/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:27:21 +0530] "GET /EV_Charging_Station_Finder/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:27:23 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 200 17799
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:27:35 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:27:36 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:27:44 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:27:56 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:28:00 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:28:05 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:28:35 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:29:09 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 200 17679
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:29:17 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 200 15225
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 9060
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/css/bootstrap.min.css HTTP/1.1" 200 164122
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/css/style.css HTTP/1.1" 200 5323
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/lib/chart/chart.min.js HTTP/1.1" 200 194890
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/lib/tempusdominus/js/moment.min.js HTTP/1.1" 200 326657
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/lib/tempusdominus/js/moment-timezone.min.js HTTP/1.1" 200 32832
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 56879
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/js/main.js HTTP/1.1" 200 5700
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/img/user.jpg HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/EVCS.jpg HTTP/1.1" 200 99935
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:31:37 +0530] "GET /EV_Charging_Station_Finder/img/favicon.ico HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:33:12 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:33:12 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:33:12 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:33:13 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:33:13 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:33:13 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:33:30 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:33:31 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:33:31 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:33:31 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:33:31 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:33:31 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:33:32 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 304 -
